"dt","averagetemperature","averagetemperatureuncertainty","city","country","latitude","longitude"
"1744-09-01","13","2","Neuss","Germany","50.63N","6.34E"
"1744-09-01","13","1","Siauliai","Lithuania","55.45N","22.68E"
"1744-09-01","11","2","Moscow","Russia","55.45N","36.85E"
"1744-09-01","14","2","Sarajevo","Bosnia And Herzegovina","44.20N","17.89E"
"1744-09-01","10","1","Tampere","Finland","61.88N","22.08E"
"1744-09-01","14","1","Kalisz","Poland","52.24N","18.39E"
"1744-09-01","13","1","Zwolle","Netherlands","52.24N","5.26E"
"1744-09-01","14","1","Rostock","Germany","53.84N","12.27E"
"1744-09-01","19","2","Gebze","Turkey","40.99N","29.82E"
"1744-09-01","15","2","Chisinau","Moldova","47.42N","29.61E"
"1744-09-01","11","1","Trois Rivières","Canada","45.81N","72.69W"
"1744-09-01","16","2","Joliet","United States","40.99N","87.34W"
"1744-09-01","15","2","León","Spain","42.59N","6.55W"
"1744-09-01","14","2","Dresden","Germany","50.63N","13.94E"
"1744-09-01","14","2","Reims","France","49.03N","4.90E"
"1744-09-01","16","2","Toledo","United States","40.99N","83.08W"
"1744-09-01","14","2","Caen","France","49.03N","0.00W"
"1744-09-01","12","2","Bristol","United Kingdom","52.24N","2.63W"
"1744-09-01","13","2","Wroclaw","Poland","50.63N","16.48E"
"1744-09-01","14","2","Trier","Germany","49.03N","7.35E"
"1744-09-01","16","2","Braila","Romania","45.81N","28.85E"
"1744-09-01","16","2","Zonguldak","Turkey","40.99N","31.95E"
"1744-09-01","12","2","Tolyatti","Russia","53.84N","50.45E"
"1744-09-01","17","2","Inegol","Turkey","39.38N","29.13E"
"1744-09-01","12","2","Stockport","United Kingdom","53.84N","1.36W"
"1744-09-01","13","2","Mülheim","Germany","50.63N","6.34E"
"1744-09-01","12","2","Samara","Russia","53.84N","50.45E"
"1744-09-01","20","2","Clarksville","United States","36.17N","87.51W"
"1744-09-01","13","1","Hildesheim","Germany","52.24N","10.51E"
"1744-09-01","14","2","Pavlohrad","Ukraine","49.03N","36.73E"
"1744-09-01","21","2","Columbia","United States","34.56N","81.73W"
"1744-09-01","17","2","Craiova","Romania","44.20N","24.60E"
"1744-09-01","19","2","Çorlu","Turkey","40.99N","27.69E"
"1744-09-01","10","2","Ufa","Russia","55.45N","56.69E"
"1744-09-01","12","2","Oshawa","Canada","44.20N","78.26W"
"1744-09-01","11","1","Turku","Finland","60.27N","22.70E"
"1744-09-01","11","2","Mulhouse","France","47.42N","8.29E"
"1744-09-01","12","2","Milan","Italy","45.81N","8.08E"
"1744-09-01","11","2","Zurich","Switzerland","47.42N","8.29E"
"1744-09-01","13","1","Utrecht","Netherlands","52.24N","5.26E"
"1744-09-01","16","2","Torrejón De Ardoz","Spain","40.99N","4.26W"
"1744-09-01","13","2","Peterborough","United Kingdom","52.24N","0.00W"
"1744-09-01","12","2","Sudbury","Canada","45.81N","81.92W"
"1744-09-01","14","2","Plzen","Czech Republic","50.63N","13.94E"
"1744-09-01","11","2","Khimki","Russia","55.45N","36.85E"
"1744-09-01","17","2","Braga","Portugal","40.99N","8.52W"
"1744-09-01","14","1","Potsdam","Germany","52.24N","13.14E"
"1744-09-01","19","2","Foggia","Italy","40.99N","14.91E"
"1744-09-01","14","2","Gillingham","United Kingdom","50.63N","1.27E"
"1744-09-01","14","2","Kirovohrad","Ukraine","49.03N","31.84E"
"1744-09-01","15","2","Oradea","Romania","47.42N","22.50E"
"1744-09-01","7","2","Severodvinsk","Russia","65.09N","40.21E"
"1744-09-01","10","2","Nizhnekamsk","Russia","55.45N","51.02E"
"1744-09-01","17","2","Ruse","Bulgaria","44.20N","26.83E"
"1744-09-01","10","2","Kovrov","Russia","57.05N","42.79E"
"1744-09-01","11","2","Zhukovskiy","Russia","55.45N","36.85E"
"1744-09-01","17","2","Padova","Italy","45.81N","12.69E"
"1744-09-01","13","1","Lowell","United States","42.59N","72.00W"
"1744-09-01","17","2","Odesa","Ukraine","45.81N","31.15E"
"1744-09-01","15","2","Madison","United States","42.59N","89.45W"
"1744-09-01","13","2","Lausanne","Switzerland","45.81N","5.77E"
"1744-09-01","20","2","Terrassa","Spain","40.99N","2.13E"
"1744-09-01","13","2","Sumy","Ukraine","50.63N","34.23E"
"1744-09-01","13","1","Bochum","Germany","52.24N","7.88E"
"1744-09-01","14","1","Cottbus","Germany","52.24N","13.14E"
"1744-09-01","13","2","Erfurt","Germany","50.63N","11.41E"
"1744-09-01","22","2","Montgomery","United States","32.95N","87.13W"
"1744-09-01","12","2","Coventry","United Kingdom","52.24N","2.63W"
"1744-09-01","16","2","Logroño","Spain","42.59N","2.18W"
"1744-09-01","16","2","Szeged","Hungary","45.81N","19.62E"
"1744-09-01","12","2","Nottingham","United Kingdom","53.84N","1.36W"
"1744-09-01","25","2","Clearwater","United States","28.13N","82.73W"
"1744-09-01","14","2","Poltava","Ukraine","49.03N","34.29E"
"1744-09-01","12","1","Minsk","Belarus","53.84N","28.64E"
"1744-09-01","14","2","Kremenchuk","Ukraine","49.03N","34.29E"
"1744-09-01","13","2","Brno","Czech Republic","49.03N","17.14E"
"1744-09-01","17","2","Philadelphia","United States","39.38N","74.91W"
"1744-09-01","11","2","Kolomna","Russia","55.45N","39.69E"
"1744-09-01","13","2","Remscheid","Germany","50.63N","6.34E"
"1744-09-01","10","2","Sergiyev Posad","Russia","57.05N","36.89E"
"1744-09-01","15","1","Yonkers","United States","40.99N","74.56W"
"1744-09-01","12","2","Huddersfield","United Kingdom","53.84N","1.36W"
"1744-09-01","15","2","Kecskemét","Hungary","47.42N","20.13E"
"1744-09-01","17","2","Cincinnati","United States","39.38N","85.32W"
"1744-09-01","17","2","Baltimore","United States","39.38N","76.99W"
"1744-09-01","24","2","Gainesville","United States","29.74N","83.08W"
"1744-09-01","22","2","Reggio Di Calabria","Italy","37.78N","16.27E"
"1744-09-01","13","2","Bergisch Gladbach","Germany","50.63N","6.34E"
"1744-09-01","13","1","Amsterdam","Netherlands","52.24N","5.26E"
"1744-09-01","15","2","Székesfehérvár","Hungary","47.42N","17.76E"
"1744-09-01","12","1","Vilnius","Lithuania","55.45N","25.51E"
"1744-09-01","15","2","Zagreb","Croatia","45.81N","15.00E"
"1744-09-01","15","1","Paterson","United States","40.99N","74.56W"
"1744-09-01","14","2","Charleroi","Belgium","50.63N","3.80E"
"1744-09-01","14","2","Ludwigshafen","Germany","49.03N","7.35E"
"1744-09-01","13","1","Almere","Netherlands","52.24N","5.26E"
"1744-09-01","20","2","Bari","Italy","40.99N","17.04E"
"1744-09-01","13","2","Opole","Poland","50.63N","19.01E"
"1744-09-01","10","2","Tver","Russia","57.05N","36.89E"
"1744-09-01","9","2","Izhevsk","Russia","57.05N","54.59E"
